wallet,block,side,price_usd,size_eth
0x2fe4093c894749e596f458764c377bf4f1337b58,50780854,SELL,2376.77884809,0.0612931860
0xb290052d2dc6bfe8dc5fff61ce67200147bb42bd,50780854,SELL,2376.73765265,0.0612931860
0x2eb84c206561b0f8773f8039508efcd6a3f62cde,50780854,SELL,2376.71706309,0.0612931860
0x1d3ec927cc89557d7854f616e3cc964439bfdb26,50780854,SELL,2376.61408263,0.0612931860
0xa971283289448b30188cec3f0e60ad92322e4970,50780854,BUY,2379.04722253,0.5090869217
0xc58bdfc2f3f31f30d1f1768d3273d00bbd13b6cb,50780857,BUY,2379.37360000,0.0346900718
0x4fc08b528b0880d5e6ff99646565d8cc1438d1ac,50780862,BUY,2379.69245937,0.9362994509
0x8d47ba07ff9ccccf58c7e8810ee42c0dc8b8b123,50780866,SELL,2375.19189724,0.0000001200
0x55c87f0ddb520ce472bf0df7dc4237f2370f0bf0,50780868,BUY,2380.06667622,0.1641049584
0x5546d4f3830836fd0ff1640d789e103284fe680b,50780868,BUY,2380.09952894,0.0311943682
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780868,BUY,2380.14893006,0.2625070785
0xa0eb51ab471c6e45d230651c49a1165b02aecdc7,50780871,BUY,2380.57064537,0.3118351957
0xf73d1f26577acad64e53c01f593ea7fd0b677b37,50780871,BUY,2380.69631042,0.4349552085
0x30f5f2c24b4036f09259a56ae487e7973790a7bc,50780876,BUY,2381.11500699,0.0000021574
0x56311f46963d93eba214a95a5c55193d6bdaf4da,50780877,BUY,2381.12691048,0.4193366702
0xab34e3836988273c0ffe6bf73cc5264a5098ee7a,50780877,BUY,2381.26771542,0.4171309557
0x9d21078cd7c9ffa5443ba27d36498f43a67955a5,50780879,BUY,2381.33945725,0.0004924044
0x501ef174b66883ba40f92e6fb24bfb49331d4d4c,50780880,SELL,2378.95605225,0.0075909242
0x56311f46963d93eba214a95a5c55193d6bdaf4da,50780881,BUY,2381.68603568,0.4147558176
0x30f5f2c24b4036f09259a56ae487e7973790a7bc,50780892,BUY,2381.75747844,0.0006521164
0xa6b70dc9d6ed912f5a1d0359480d393badf2ec15,50780897,BUY,2381.76314657,0.0369497123
0x742b236c3913cdea776b7aaf777ef682deb90d27,50780905,BUY,2381.80383076,0.2852723139
