wallet,block,side,price_usd,size_eth
0xb5be0bc64cc83c53ed309ce065212548685f7698,25853109,BUY,2488.27071718,0.0001155180
0x9235910f410478b89f86e06be0e4535335af6dea,25853109,BUY,2488.27310069,0.0001793529
0x10736cf221a76d5c8c80c7a618df711338ac1265,25853113,BUY,2486.77507735,0.0480139925
0x223f5116e7231a8565e609a7c4e8977f0d96f148,25853131,BUY,2486.97053245,0.0001113777
0xc5366ac64366c4a5a0f93638e2a290705f68635a,25853132,SELL,2484.46422957,0.5445000000
0x9b0752e163346da3baf90a3489de79e92c769ff2,25853132,BUY,2486.93561867,0.0000755641
0x5cb7c577300277f6ddc4e686a12823a1de6d26fa,25853140,BUY,2487.64671085,3.2569449266
0xfbfaa7e938e7176bbcbbbf6b15a4f3a89d2b065d,25853145,BUY,2488.96788883,0.0001202571
0x239df805268c35b1dc3ea2b230b7ff05275b2ea1,25853161,SELL,2490.97643407,0.0135143029
0x28e590e049b2755fcda70c9a475b8d7a49496680,25853184,BUY,2494.32210614,0.0000822139
0x2dd49cce98c545996db30fa864d1576e4712f396,25853191,BUY,2495.31281926,1.4249792657
0x704faaee9cc5480add7144db3f367d80120d2a14,25853223,BUY,2495.89785504,0.0001072119
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25853236,BUY,2495.86728728,3.1314396201
0x091179e3c74e33545ce8cc07fa385827256cb84f,25853250,BUY,2497.23043470,0.0292628758
0x091179e3c74e33545ce8cc07fa385827256cb84f,25853250,SELL,2494.73386848,0.0264829026
0x091179e3c74e33545ce8cc07fa385827256cb84f,25853250,SELL,2494.73225478,0.0298680782
0xa9f387fc13536655014b60c0a91e30e6889dc8c8,25853262,BUY,2498.15627585,0.0003125313
0x6334bb07e517ed7dd521dee5680481d2f6b3e2f5,25853262,BUY,2498.15791061,0.0000614673
0x5ac6bc472a51335d1af3cc2f5c8201c16ecc6b2c,25853264,BUY,2498.16138562,0.0001066713
0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,25853266,BUY,2498.25811870,3.6177883047
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25853268,BUY,2498.53847897,6.1810940127
0x81dc771e308c76c3e06f635abed7fb24830fb824,25853271,BUY,2499.35267313,22.3741771720
